word,tf,df,tfidf
perdocument-loglikelihood,3,2,4.512232190328822
performance-nmi,3,2,4.512232190328822
perspective,3,2,4.512232190328822
phylogenetic,3,2,4.512232190328822
pltm-outperform,3,2,4.512232190328822
previous-paragraph,3,2,4.512232190328822
proceedings-sixth,3,2,4.512232190328822
progressive-pem,3,2,4.512232190328822
proportion,3,2,4.512232190328822
psychological,3,2,4.512232190328822
rapidly,3,2,4.512232190328822
recursively,3,2,4.512232190328822
references,3,2,4.512232190328822
rep,3,2,4.512232190328822
sciences,3,2,4.512232190328822
score-evaluate,3,2,4.512232190328822
score-ltm,3,2,4.512232190328822
searchbased,3,2,4.512232190328822
season-hockey,3,2,4.512232190328822
section-analyze,3,2,4.512232190328822
section-empirically,3,2,4.512232190328822
seldom,3,2,4.512232190328822
selection-criterion,3,2,4.512232190328822
selection-important,3,2,4.512232190328822
semantically-form,3,2,4.512232190328822
sense-talk,3,2,4.512232190328822
sequence,3,2,4.512232190328822
set-cardinality,3,2,4.512232190328822
set-pltm,3,2,4.512232190328822
shanghai,3,2,4.512232190328822
shortrange-word,3,2,4.512232190328822
sigkdd,3,2,4.512232190328822
sigkdd-international,3,2,4.512232190328822
sign,3,2,4.512232190328822
significantly-outperform,3,2,4.512232190328822
slightly,3,2,4.512232190328822
smola,3,2,4.512232190328822
social-behavioral,3,2,4.512232190328822
solar,3,2,4.512232190328822
stateoftheart,3,2,4.512232190328822
steinley-brusco,3,2,4.512232190328822
store,3,2,4.512232190328822
subroutine-pemltm2l,3,2,4.512232190328822
superior-performance,3,2,4.512232190328822
synthetic-data,3,2,4.512232190328822
systematically-identify,3,2,4.512232190328822
table-part,3,2,4.512232190328822
table-topic,3,2,4.512232190328822
table-word,3,2,4.512232190328822
tao,3,2,4.512232190328822
tech,3,2,4.512232190328822
test-determine,3,2,4.512232190328822
test-fail,3,2,4.512232190328822
thousand,3,2,4.512232190328822
threshold-udtest,3,2,4.512232190328822
tie,3,2,4.512232190328822
topic-correlation,3,2,4.512232190328822
topics,3,2,4.512232190328822
twolatent,3,2,4.512232190328822
unconditional,3,2,4.512232190328822
unpouching-operator,3,2,4.512232190328822
variety,3,2,4.512232190328822
window,3,2,4.512232190328822
wrt,3,2,4.512232190328822
yeast-zernike,3,2,4.512232190328822
